Wavelength,Hypo,Inc
215,886.6430000000000,1166.00227
215.344,835.1596550000000,1129.087275
215.688,894.73346,1149.38546
216.032,955.794545,1187.819545
216.376,879.4764300000000,1158.053175
216.72,838.36186,1123.85182
217.064,864.1346800000000,1121.05136
217.408,919.91252,1144.419545
217.752,910.95776,1157.807725
218.096,922.30934,1179.2368200000000
218.439,1005.279125,1223.063635
218.783,1008.2106650000000,1229.25864
219.127,979.0811200000000,1215.345
219.47,955.4154950000000,1209.3840950000000
219.814,932.4364,1209.167725
220.157,969.9759750000000,1234.39909
220.5,1006.3081400000000,1259.00227
220.844,1015.8268900000000,1266.67591
221.187,1026.802935,1268.6745450000000
221.53,1024.2302050000000,1270.95363
221.873,1007.6679300000000,1269.0040850000000
222.216,1033.933705,1264.0940900000000
222.559,1024.7040600000000,1244.71728
222.902,1011.963355,1244.20136
223.245,1029.502165,1258.939545
223.588,1014.64657,1251.1413650000000
223.931,992.6095050000000,1225.220905
224.273,966.2009450000000,1177.66591
224.616,903.084965,1112.206365
224.959,832.859685,1065.48909
225.301,815.316815,1064.029995
225.644,817.9619600000000,1073.97182
225.986,820.80409,1070.4563600000000
226.329,883.383465,1096.8895500000000
226.671,907.64629,1120.2181750000000
227.013,873.1945100000000,1105.565
227.356,862.053815,1094.203635
227.698,873.80213,1097.0168150000000
228.04,930.084655,1122.668185
228.382,988.03213,1160.689085
228.724,997.786155,1188.867725
229.066,959.921575,1195.89364
229.408,929.005065,1189.38591
229.75,951.385415,1200.35454
230.092,981.9983900000000,1220.1836400000000
230.433,1002.341855,1231.64273
230.775,1020.6166400000000,1242.461815
231.117,1049.179405,1262.6422750000000
231.458,1068.9863650000000,1268.451365
231.8,1041.6785300000000,1251.3459100000000
232.141,1041.7367100000000,1264.26091
232.483,1082.87909,1300.77636
232.824,1087.58769,1314.63182
233.165,1071.1205600000000,1317.6459050000000
233.506,1085.4265050000000,1320.72546
233.848,1080.0148950000000,1305.37864
234.189,1046.1745850000000,1287.4277300000000
234.53,1062.20398,1299.6936300000000
234.871,1073.967905,1312.802735
235.212,1101.460345,1330.0859050000000
235.553,1166.7737750000000,1361.640455
235.894,1151.1528300000000,1364.84909
236.234,1123.1179050000000,1355.444095
236.575,1127.61301,1345.58682
236.916,1091.5294350000000,1324.2204500000000
237.257,1063.0091350000000,1314.4590950000000
237.597,1099.322935,1332.033185
237.938,1145.997135,1356.6768200000000
238.278,1135.105835,1355.43454
238.619,1116.2999300000000,1336.50955
238.959,1118.91202,1305.37363
239.299,1054.654865,1249.855
239.64,1002.8975200000000,1227.26091
239.98,1014.4131400000000,1238.7818150000000
240.32,1045.41766,1253.6918200000000
